"Nr","ID","Examination_nr","Examination_type_nr","Task_type","target","performed","Date"
480,12,1,1,"abduction",121,132.3,"2018-02-26 17:36:17"
481,12,1,1,"abduction",60.4,71.2,"2018-02-26 17:36:31"
482,12,1,1,"abduction",90,91.5,"2018-02-26 17:36:44"
483,12,1,1,"abduction",120.9,124.2,"2018-02-26 17:36:58"
484,12,1,1,"abduction",59,70.8,"2018-02-26 17:37:11"
485,12,1,1,"abduction",91.7,85.8,"2018-02-26 17:37:45"
486,12,1,1,"abduction",121.2,131.6,"2018-02-26 17:37:58"
487,12,1,2,"flexion",61.6,74.9,"2018-02-26 17:39:01"
488,12,1,2,"flexion",93.3,94.3,"2018-02-26 17:39:13"
489,12,1,2,"flexion",119.6,118.5,"2018-02-26 17:39:29"
490,12,1,2,"flexion",65.1,74.1,"2018-02-26 17:39:44"
491,12,1,2,"flexion",91.5,97.6,"2018-02-26 17:39:57"
492,12,1,2,"flexion",120.7,123.6,"2018-02-26 17:40:09"
493,12,1,2,"flexion",63.2,77.7,"2018-02-26 17:40:24"
494,12,1,2,"flexion",92.4,101.5,"2018-02-26 17:40:39"
495,12,1,2,"flexion",121.1,128.2,"2018-02-26 17:40:52"
496,12,1,2,"flexion",61.5,73.9,"2018-02-26 17:41:06"
497,12,1,2,"flexion",92.3,91.5,"2018-02-26 17:41:20"
498,12,1,2,"flexion",121.6,117,"2018-02-26 17:41:33"
499,12,1,2,"flexion",63.4,80.2,"2018-02-26 17:41:47"
500,12,1,2,"flexion",91.7,97.8,"2018-02-26 17:42:01"
501,12,1,2,"flexion",118.6,123.3,"2018-02-26 17:42:16"
502,13,1,1,"abduction",61.7,61.3,"2018-02-26 18:27:29"
503,13,1,1,"abduction",90.7,94.1,"2018-02-26 18:27:54"
504,13,1,1,"abduction",119.2,124.4,"2018-02-26 18:28:21"
505,13,1,1,"abduction",60.3,63.7,"2018-02-26 18:28:41"
506,13,1,1,"abduction",90.3,87.7,"2018-02-26 18:29:04"
507,13,1,1,"abduction",118.6,122,"2018-02-26 18:29:30"
508,13,1,1,"abduction",60.1,63.2,"2018-02-26 18:29:50"
509,13,1,1,"abduction",90.3,91.3,"2018-02-26 18:30:10"
510,13,1,1,"abduction",118,120,"2018-02-26 18:30:26"
511,13,1,1,"abduction",60.4,59.4,"2018-02-26 18:30:43"
512,13,1,1,"abduction",88.3,86.1,"2018-02-26 18:31:00"
513,13,1,1,"abduction",118.3,116.1,"2018-02-26 18:31:18"
514,13,1,1,"abduction",61.7,67.4,"2018-02-26 18:31:34"
515,13,1,1,"abduction",89.5,90.9,"2018-02-26 18:31:51"
516,13,1,1,"abduction",118.7,114.4,"2018-02-26 18:32:09"
517,13,1,2,"flexion",60.3,61.2,"2018-02-26 18:33:22"
518,13,1,2,"flexion",88.6,86.4,"2018-02-26 18:33:40"
519,13,1,2,"flexion",117.6,113.4,"2018-02-26 18:33:58"
520,13,1,2,"flexion",64.8,66.9,"2018-02-26 18:34:17"
521,13,1,2,"flexion",92.3,97.2,"2018-02-26 18:34:36"
522,13,1,2,"flexion",120.5,126.4,"2018-02-26 18:34:57"
523,13,1,2,"flexion",60,63.1,"2018-02-26 18:35:13"
524,13,1,2,"flexion",89.6,92.2,"2018-02-26 18:35:31"
525,13,1,2,"flexion",120.1,125,"2018-02-26 18:35:48"
526,13,1,2,"flexion",62.2,75.5,"2018-02-26 18:36:08"
527,13,1,2,"flexion",90.1,90.9,"2018-02-26 18:36:23"
528,13,1,2,"flexion",119.7,120.3,"2018-02-26 18:36:43"
529,13,1,2,"flexion",62.2,65.9,"2018-02-26 18:36:59"
